"prodfra_2009","prodfra_2010","prodfra_2011","prodfra_2012","prodfra_2013","prodfra_2014","prodfra_2015","prodfra_2016","prodfra_2017","prodfra_2018","prodfra_2019","prodfra_2020","prodfra_2021","get(prodfra_yr)","prodfra_plus"
"07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291905","07291905","07291905","07291905","07291905"
"07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291910","07291910","07291910","07291910","07291905"
"07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291915","07291915","07291915","07291915","07291905"
"07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291920","07291920","07291920","07291920","07291905"
"07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291925","07291925","07291925","07291925","07291905"
"07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291926","07291926","07291926","07291926","07291905"
"07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291930","07291930","07291930","07291930","07291905"
"07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291935","07291935","07291935","07291935","07291905"
"07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291940","07291940","07291940","07291940","07291905"
"07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291945","07291945","07291945","07291945","07291905"
"07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291900","07291990","07291990","07291990","07291990","07291905"
"08111290","08111290","08111290","08111290","08111290","08111290","08111290","08111290","08111290","08111290","08111220","08111220","08111220","08111220","08111220"
"08111290","08111290","08111290","08111290","08111290","08111290","08111290","08111290","08111290","08111290","08111260","08111260","08111260","08111260","08111220"
"08121230","08121230","08121230","08121230","08121230","08121230","08121230","08121230","08121230","08121230","08121235","08121235","08121235","08121235","08121235"
"08121230","08121230","08121230","08121230","08121230","08121230","08121230","08121230","08121230","08121230","08121240","08121240","08121240","08121240","08121235"
"08122140","08122140","08122140","08122140","08122140","08122140","08122140","08122140","08122140","08122140","08122140","08122140","08122140","08122140","08122140"
"08122250","08122250","08122250","08122250","08122250","08122250","08122250","08122250","08122250","08122250","08122255","08122255","08122255","08122255","08122255"
"08122250","08122250","08122250","08122250","08122250","08122250","08122250","08122250","08122250","08122250","08122260","08122260","08122260","08122260","08122255"
"08122250","08122250","08122250","08122250","08122250","08122250","08122250","08122250","08122250","08122250","08122270","08122270","08122270","08122270","08122255"
"08122250","08122250","08122250","08122250","08122250","08122250","08122250","08122250","08122250","08122250","08122280","08122280","08122280","08122280","08122255"
NA,NA,"10412100","10412100","10412100","10412100","10412100","10412910","10412910","10412910","10412910","10412910","10412910","10412910","28231000"
NA,NA,NA,NA,NA,"10412800","10412800","10412910","10412910","10412910","10412910","10412910","10412910","10412910","28231000"
"10412900","10412900","10412900","10412900","10412900","10412900","10412900","10412910","10412910","10412910","10412910","10412910","10412910","10412910","28231000"
"10891940","10891940","10891940","10891940","10891940","10891940","10891940","10831500","10831500","10831500","10831500","10831500","10831500","10831500","10831500"
"10851900","10851900","10851900","10851900","10851900","10851900","10851900","10851910","10851910","10851910","10851910","10851910","10851910","10851910","10851910"
"10851900","10851900","10851900","10851900","10851900","10851900","10851900","10891600","10891600","10891600","10891600","10891600","10891600","10891600","10851910"
"10891940","10891940","10891940","10891940","10891940","10891940","10891940","10891700","10891700","10891700","10891700","10891700","10891700","10891700","10831500"
"10891940","10891940","10891940","10891940","10891940","10891940","10891940","10891950","10891950","10891950","10891950","10891950","10891950","10891950","10831500"
"13922990","13922990","13922990","13922999","13922999","13922999","13922999","13922999","13922999","13922999","13922999","13922999","13922998","13922998","13922998"
"13922990","13922990","13922990","13922999","13922999","13922999","13922999","13922999","13922999","13922999","13922999","13922999","32991170","32991170","13922998"
"13922990","13922990","13922990","13922999","13922999","13922999","13922999","13922999","13922999","13922999","13922999","13922999","32991179","32991179","13922998"
NA,"","14134000","14134000","14134000","14134000","14134000","14134000","14134000","14134000","14134000","14134000","14134000","14134000","28231000"
"14192100","14192100","14192100","14192150","14192150","14192150","14192150","14192150","14192150","14192150","14192150","14192150","14192150","14192150","14192150"
"14192393","14192393","14192393","14192393","14192393","14192393","14192396","14192396","14192396","14192396","14192396","14192396","14192396","14192396","14192396"
"14192395","14192395","14192395","14192395","14192395","14192395","14192396","14192396","14192396","14192396","14192396","14192396","14192396","14192396","14192396"
"15121100","15121100","15121100","15121100","15121100","15121100","15121100","15121110","15121110","15121110","15121110","15121110","15121110","15121110","15121110"
"32992200","32992200","32992200","32992200","32992200","32992200","32992200","15121110","15121110","15121110","15121110","15121110","15121110","15121110","15121110"
"16101033","16101033","16101033","16101033","16101033","16101033","16101033","16101133","16101134","16101134","16101134","16101134","16101134","16101134","16101134"
"16101033","16101033","16101033","16101033","16101033","16101033","16101033","16101133","16101136","16101136","16101136","16101136","16101136","16101136","16101134"
"16101033","16101033","16101033","16101033","16101033","16101033","16101033","16101133","16101138","16101138","16101138","16101138","16101138","16101138","16101134"
"16211224","16211224","16211224","16211224","16211224","16211224","16211313","16211200","16211200","16211200","16211200","16211200","16211200","16211200","16211200"
"16211313","16211313","16211313","16211313","16211313","16211313","16211313","16211200","16211200","16211200","16211200","16211200","16211200","16211200","16211200"
"16211221","16211221","16211221","16211221","16211221","16211221","16211221","16211610","16211600","16211600","16211600","16211600","16211600","16211600","16211200"
"16211224","16211224","16211224","16211224","16211224","16211224","16211224","16211610","16211600","16211600","16211600","16211600","16211600","16211600","16211200"
"16211217","16211217","16211217","16211217","16211217","16211217","16211217","16211617","16211600","16211600","16211600","16211600","16211600","16211600","16211200"
"16211221","16211221","16211221","16211221","16211221","16211221","16211221","16211810","16211800","16211800","16211800","16211800","16211800","16211800","16211200"
"16211224","16211224","16211224","16211224","16211224","16211224","16211224","16211810","16211800","16211800","16211800","16211800","16211800","16211800","16211200"
"16211214","16211214","16211214","16211214","16211214","16211214","16211214","16211814","16211800","16211800","16211800","16211800","16211800","16211800","16211200"
"16212113","16212113","16212113","16212113","16212113","16212113","16212113","16212210","16212210","16212210","16212210","16212210","16212210","16212210","16212210"
"16212118","16212118","16212118","16212118","16212118","16212118","16212118","16212210","16212210","16212210","16212210","16212210","16212210","16212210","16212210"
"16212113","16212113","16212113","16212113","16212113","16212113","16212113","16212300","16212300","16212300","16212300","16212300","16212300","16212300","16212210"
"16212118","16212118","16212118","16212118","16212118","16212118","16212118","16212300","16212300","16212300","16212300","16212300","16212300","16212300","16212210"
"16212113","16212113","16212113","16212113","16212113","16212113","16212113","16212400","16212400","16212400","16212400","16212400","16212400","16212400","16212210"
"16212118","16212118","16212118","16212118","16212118","16212118","16212118","16212400","16212400","16212400","16212400","16212400","16212400","16212400","16212210"
"16231110","16231110","16231110","16231110","16231110","16231110","16231110","16231110","16231110","16231110","16231110","16231110","16231110","16231110","16231110"
"16231110","16231110","16231110","16231110","16231110","16231110","16231110","16231110","16231110","16231900","16231900","16231900","16231900","16231900","16231110"
"16231900","16231900","16231900","16231900","16231900","16231900","16231900","16231900","16231900","16231900","16231900","16231900","16231900","16231900","16231110"
"16291420","16291420","16291420","16291420","16291420","16291420","16291420","16291420","16291420","16291420","16291420","16291420","16291420","16291420","16291420"
"16291490","16291490","16291490","16291490","16291490","16291490","16291420","16291420","16291420","16291420","16291420","16291420","16291420","16291420","16291420"
"16291490","16291490","16291490","16291490","16291490","16291490","16291491","16291491","16291491","16291491","16291491","16291491","16291491","16291491","16291420"
"16291490","16291490","16291490","16291490","16291490","16291490","16291410","16291500","16291500","16291500","16291500","16291500","16291500","16291500","16291420"
"18121990","18121990","18121990","17210000","17210000","17210000","17210000","17210000","17210000","17210000","17210000","17210000","17210000","17210000","17210000"
"13922990","13922990","13922990","13922993","13922993","13922993","13922993","13922993","13922993","13922993","17221260","17221260","17221260","17221260","13922998"
"14192100","14192100","14192100","14190000","14190000","14190000","14190000","14190000","14190000","14190000","17221270","17221270","17221270","17221270","14192150"
"13301410","13301410","13301410","18121621","18121621","18121621","18121621","18121610","18121610","18121610","18121610","18121610","18121610","18121610","28231000"
"13301420","13301420","13301420","18121622","18121622","18121622","18121622","18121610","18121610","18121610","18121610","18121610","18121610","18121610","28231000"
"13301430","13301430","13301430","18121623","18121623","18121623","18121623","18121610","18121610","18121610","18121610","18121610","18121610","18121610","28231000"
"13301440","13301440","13301440","18121624","18121624","18121624","18121624","18121610","18121610","18121610","18121610","18121610","18121610","18121610","28231000"
"13301450","13301450","13301450","18121625","18121625","18121625","18121625","18121610","18121610","18121610","18121610","18121610","18121610","18121610","28231000"
"13301460","13301460","13301460","18121626","18121626","18121626","18121626","18121610","18121610","18121610","18121610","18121610","18121610","18121610","28231000"
NA,NA,"13301470","18121627","18121627","18121627","18121627","18121610","18121610","18121610","18121610","18121610","18121610","18121610","28231000"
NA,NA,NA,NA,NA,NA,"18121628","18121610","18121610","18121610","18121610","18121610","18121610","18121610","28231000"
"13301490","13301490","13301490","18121629","18121629","18121629","18121629","18121610","18121610","18121610","18121610","18121610","18121610","18121610","28231000"
"18121990","18121990","18121990","18121990","18121990","18121990","18121990","18121990","18121990","18121990","18121990","18121990","18121990","18121990","17210000"
"19202010","19202010","19202010","19202010","19202010","19202100","19202100","19202100","19202100","19202100","19202100","19202100","19202100","19202100","19202100"
"19202010","19202010","19202010","19202010","19202010","19202100","19202100","19202200","19202200","19202200","19202200","19202200","19202200","19202200","19202100"
"19202010","19202010","19202010","19202010","19202010","19202300","19202300","19202300","19202300","19202300","19202300","19202300","19202300","19202300","19202100"
"19202010","19202010","19202010","19202010","19202010","19202500","19202500","19202420","19202420","19202420","19202420","19202420","19202420","19202420","19202100"
"19202010","19202010","19202010","19202010","19202010","19202300","19202300","19202500","19202500","19202500","19202500","19202500","19202500","19202500","19202100"
"19202010","19202010","19202010","19202010","19202010","19202600","19202600","19202600","19202600","19202600","19202600","19202600","19202600","19202600","19202100"
"19202010","19202010","19202010","19202010","19202010","19202400","19202400","19202710","19202710","19202710","19202710","19202710","19202710","19202710","19202100"
"19202010","19202010","19202010","19202010","19202010","19202700","19202700","19202720","19202720","19202720","19202720","19202720","19202720","19202720","19202100"
"19202010","19202010","19202010","19202010","19202010","19202800","19202800","19202800","19202800","19202800","19202800","19202800","19202800","19202800","19202100"
